code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0024622511676,"Pepe's, Fantastico Chicharrones",Rudolph Foods Company  Inc.,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,"Pork fat with attached skin, salt.",Unknown,571.0
0035266007265,"Tastee, White Pretzel Wonder Fantasy",Tastee Apple  Inc.,"plant-based-foods-and-beverages, plant-based-foods, fruits-and-vegetables-based-foods",united-states,Unknown,Unknown,Unknown,d,4.0,unknown,"Apple, caramel (corn syrup, sugar, condensed milk (milk, sucrose), hydrogenated palm oil, evaporated milk (disodium phosphate, carrageenan), soy flour, lecithin, monodiglyceride, vanillin and salt), chocolate coating (sugar, partially hydrogenated vegetable oil [palm kernel and or palm and/or cottonseed], skim milk powder, cocoa, vanilla, sorbitan tristearate [an emulsifier], soy lecithin [an emulsifier] and salt), pretzels (wheat flour, vital wheat gluten, salt, corn syrup, vegetable oil [may contain one or more of the following: corn, canola, cottonseed, soybean), sodium bicarbonate, yeast).",28.57,232.0
0041321016141,Fantastico light cheese dressing,Bernstein's,"condiments, sauces, salad-dressings, groceries",united-states,Unknown,Unknown,Unknown,d,4.0,Unknown,"Water, distilled vinegar, soybean oil, salt, maltodextrin, parmesan cheese (pasteurized part skim milk, cheese cultures, salt, enzymes), romano cheese (pasteurized part skim milk, salt, cheese cultures, enzymes), contains less than 2% of sugar, food starch-modified, onion*, cheese* (cultured pasteurized milk, salt, enzymes), granular and provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), malted barley extract and corn grits, spices, garlic*, natural flavors (includes soybean), buttermilk solids, sorbic acid, sodium benzoate (a preservative), carrot*, pectin, lactic acid, xanthan gum, monosodium glutamate, milk solids, disodium phosphate, paprika, disodium inosinate and disodium guanylate, whey, calcium disodium edta added to protect flavor.",3.23,80.65
0041497131815,Oriental Fantasy Mix,"Weis,  Weis Markets  Inc.",undefined,united-states,Unknown,Unknown,Unknown,d,3.0,Unknown,"ROASTED & SALTED (ALMONDS, SPANISH PEANUTS, CASHEWS, SOY NUTS), ROASTED NO SALT (PUMPKIN SEEDS SHELLED), CORN NUTS, FRIED & SALTED PEAS (SALT, GREEN PEAS), SOYBEANS, CORN, GLUTINOUS RICE, SOY SAUCE (WATER, SOY BEAN, WHEAT, SEA SALT), SUGAR, STARCH, CHILI,",12.7,1950.0
0481290024608,"Truffle Fantaisie Cacao Powdered Truffles, Plain",Alaus Mathez Chocolatier,Unknown,united-states,Unknown,Unknown,Unknown,unknown,4.0,unknown,"Vegetable fats (coconut, palm kernel), sugar, fat reduced cocoa powder, whey powder, cocoa powder, emulsifier: soya lecithins.",42.5,575.0
0651433632001,Fantasy Sour Belts,D.S.D. Merchandisers  Inc.,"snacks, sweet-snacks, confectioneries",united-states,plastic-bowl,Unknown,Unknown,d,4.0,unknown,"Glucose syrup, sugar, wheat flour, modified corn starch, malic acid, lactose, palm fat, citric acid, lactic acid, sodium lactate, trisodium citrate, salt, mono and diglycerides, artificial flavor, glycerin, color: fd&c blue no. 1, fd&c yellow no.5, fd&c red no. 40, titanium dioxide.",46.88,344.0
0691355880067,Fantastic Classic Lollipops,Hammond's,"snacks, sweet-snacks, confectioneries",united-states,Unknown,Unknown,Unknown,e,4.0,unknown,"Sugar, corn syrup, citric acid, natural & artificial flavor, artificial colors (blue 1, red 3, red 40, yellow 5)",66.67,333.0
20284299,Fantail Prawns,"OceanSea,Tesco","seafood, crustaceans, shrimps, prawns",united-kingdom,"tray, plastic-tray, sleeve-board","Lidl,Tesco","Barnet,London,UK",c,3.0,Unknown,"Prawns 95% (_crustaceans_), salt, lactic acid, acetic acid",Unknown,Unknown
5449000029973,Fanta lămâie,Fanta,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, sweetened-beverages",romania,Unknown,Unknown,Unknown,unknown,4.0,not-applicable,"apă, zahăr, dioxid de carbon, suc de lămâie din concentrat (2%), acidifiant acid citric, stabilizatori: gumă arabică și E 445, arome naturale de lămâie și alte arome naturale, antioxidant acid ascorbic",11.1,Unknown
5449000103789,Fanta zéro orange,The coca cola company,"beverages-and-beverages-preparations, beverages, artificially-sweetened-beverages",italy,it:bottiglia-pet,Unknown,Unknown,c,4.0,Unknown,"Acqua, succo di arancia (12%), anidride carbonica, acidificante acido citrico, aromi naturali di agrumi, correttore di acidità citrato trisodico, edulcoranti ciclammato di sodio, acesulfame K e sucralosio, stabilizzante gomma d'acacia, antiossidante acido ascorbico",Unknown,Unknown
